#r potential
1.0 1.90620359609
1.0990990991 1.74159361336
1.1981981982 1.60316749567
1.2972972973 1.48513541213
1.3963963964 1.383297994
1.4954954955 1.29453512864
1.59459459459 1.21648007466
1.69369369369 1.1473049648
1.79279279279 1.08557566253
1.89189189189 1.03015114292
1.99099099099 0.980112235253
2.09009009009 0.934710193115
2.18918918919 0.893328939711
2.28828828829 0.855456925529
2.38738738739 0.820665858998
2.48648648649 0.788594428197
2.58558558559 0.758935698488
2.68468468468 0.731427252653
2.78378378378 0.705843401561
2.88288288288 0.681988975189
2.98198198198 0.65969433213
3.08108108108 0.638811317435
3.18018018018 0.619209964962
3.27927927928 0.600775789022
3.37837837838 0.583407545996
3.47747747748 0.567015373447
3.57657657658 0.551519234491
3.67567567568 0.536847610537
3.77477477477 0.522936397351
3.87387387387 0.509727968466
3.97297297297 0.497170377074
4.07207207207 0.485216673089
4.17117117117 0.473824316437
4.27027027027 0.462954671122
4.36936936937 0.45257256739
4.46846846847 0.442645921521
4.56756756757 0.433145404591
4.66666666667 0.424044153012
4.76576576577 0.415317514811
4.86486486486 0.406942826617
4.96396396396 0.398899217102
5.06306306306 0.39116743328
5.16216216216 0.38372968663
5.26126126126 0.376569516452
5.36036036036 0.369671668232
5.45945945946 0.363021985154
5.55855855856 0.356607311099
5.65765765766 0.350415403761
5.75675675676 0.344434856658
5.85585585586 0.338655028997
5.95495495495 0.333065982485
6.05405405405 0.327658424293
6.15315315315 0.322423655495
6.25225225225 0.317353524364
6.35135135135 0.312440384013
6.45045045045 0.307677053907
6.54954954955 0.30305678485
6.64864864865 0.298573227067
6.74774774775 0.294220401096
6.84684684685 0.289992671171
6.94594594595 0.285884720885
7.04504504505 0.281891530879
7.14414414414 0.278008358385
7.24324324324 0.274230718429
7.34234234234 0.270554366552
7.44144144144 0.266975282901
7.54054054054 0.263489657564
7.63963963964 0.260093877042
7.73873873874 0.256784511754
7.83783783784 0.253558304481
7.93693693694 0.250412159671
8.03603603604 0.247343133535
8.13513513514 0.244348424856
8.23423423423 0.241425366462
8.33333333333 0.238571417305
8.43243243243 0.235784155089
8.53153153153 0.233061269415
8.63063063063 0.230400555393
8.72972972973 0.227799907687
8.82882882883 0.225257314961
8.92792792793 0.222770854686
9.02702702703 0.220338688296
9.12612612613 0.217959056654
9.22522522523 0.215630275805
9.32432432432 0.213350733005
9.42342342342 0.211118882995
9.52252252252 0.208933244508
9.62162162162 0.206792396991
9.72072072072 0.204694977524
9.81981981982 0.202639677927
9.91891891892 0.200625242042
10.018018018 0.198650463169
10.1171171171 0.196714181657
10.2162162162 0.194815282632
10.3153153153 0.192952693859
10.4144144144 0.19112538372
10.5135135135 0.18933235931
10.6126126126 0.18757266464
10.7117117117 0.185845378932
10.8108108108 0.184149615018
10.9099099099 0.182484517817
11.009009009 0.180849262899
11.1081081081 0.179243055122
11.2072072072 0.177665127346
11.3063063063 0.176114739206
11.4054054054 0.174591175962
11.5045045045 0.17309374739
11.6036036036 0.171621786748
11.7027027027 0.170174649781
11.8018018018 0.168751713782
11.9009009009 0.167352376702
12.0 0.165976056294
