Sun,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
-0.003169,0.217793,-0.279168,0.884901,-1.651246,-0.032308,3.426150,16.391527,29.189056,12.760063
0.007555,-0.359024,-0.662472,0.457124,0.001056,-5.243583,-9.428079,11.157300,-6.591435,-31.391981
0.000006,-0.050219,0.006739,-0.000030,0.040307,0.022470,0.027218,-0.170888,-0.536979,-0.330252
-0.003632,-0.392119,0.651888,0.133027,-1.456859,0.376020,3.694948,16.267738,29.225273,12.923695
0.007474,-0.170414,-0.305636,0.982234,-0.676881,-5.209982,-9.320289,11.324734,-6.422558,-31.362942
0.000018,0.021120,-0.042106,-0.000023,0.021334,0.013196,0.014627,-0.168661,-0.541293,-0.380609
-0.004088,0.252158,0.335762,-0.734051,-0.956356,0.781992,3.960474,16.142090,29.260519,13.087031
0.007361,0.196805,0.643643,0.669094,-1.207899,-5.144010,-9.204270,11.490874,-6.253467,-31.333187
0.000031,-0.007995,-0.010850,0.000019,-0.002069,0.003841,0.002023,-0.166414,-0.545589,-0.430958
-0.004539,-0.030400,-0.629721,-0.977199,-0.233020,1.183029,4.222486,16.014595,29.294800,13.250071
0.007219,-0.453914,0.357765,-0.213664,-1.448257,-5.045704,-9.080105,11.655702,-6.084169,-31.302717
0.000044,-0.035265,0.040931,0.000072,-0.024848,-0.005538,-0.010583,-0.164149,-0.549866,-0.481296
-0.004988,-0.350448,-0.374981,-0.411043,0.547537,1.576523,4.480747,15.885265,29.328106,13.412808
0.007045,0.125443,-0.615110,-0.918145,-1.293098,-4.915301,-8.947888,11.819200,-5.914670,-31.271538
0.000056,0.041422,0.012870,0.000102,-0.040741,-0.014882,-0.023180,-0.161865,-0.554126,-0.531624
-0.005427,0.343557,0.598272,0.484356,1.155620,1.959852,4.735020,15.754116,29.360435,13.575244
0.006834,-0.129311,-0.397827,-0.880610,-0.742628,-4.753265,-8.807725,11.981336,-5.744973,-31.239653
0.000069,-0.043069,-0.040321,0.000095,-0.044118,-0.024130,-0.035755,-0.159562,-0.558367,-0.581940
-0.005850,-0.270475,0.423925,0.988569,1.386206,2.330396,4.985067,15.621156,29.391788,13.737375
0.006587,-0.370362,0.586725,-0.136610,0.050267,-4.560277,-8.659718,12.142099,-5.575086,-31.207062
0.000081,-0.006447,-0.016758,0.000067,-0.033153,-0.033220,-0.048299,-0.157241,-0.562589,-0.632243
-0.006251,-0.061039,-0.572427,0.681301,1.174198,2.685568,5.230661,15.486402,29.422167,13.899197
0.006311,0.313669,0.445752,0.719417,0.832042,-4.337242,-8.503980,12.301469,-5.405014,-31.173773
0.000093,0.030235,0.038795,0.000050,-0.011561,-0.042090,-0.060800,-0.154902,-0.566793,-0.682532
-0.006635,0.187488,-0.462716,-0.203997,0.618028,3.022820,5.471571,15.349865,29.451571,14.060707
0.006010,-0.379871,-0.554960,0.969051,1.378841,-4.085306,-8.340629,12.459425,-5.234762,-31.139786
0.000105,-0.049235,0.018725,0.000070,0.013550,-0.050680,-0.073247,-0.152545,-0.570978,-0.732805
-0.007000,-0.404002,0.532183,-0.918656,-0.100715,3.339678,5.707572,15.211565,29.479994,14.221907
0.005680,-0.140172,-0.481970,0.388252,1.579164,-3.805835,-8.169795,12.615945,-5.064336,-31.105104
0.000117,0.024616,-0.037689,0.000119,0.035389,-0.058928,-0.085627,-0.150171,-0.575144,-0.783062
-0.007342,0.272204,0.503002,-0.860165,-0.801763,3.633759,5.938439,15.071509,29.507435,14.382787
0.005323,0.165043,0.516882,-0.521683,1.428046,-3.500436,-7.991607,12.771012,-4.893743,-31.069735
0.000128,-0.012463,-0.022301,0.000167,0.049430,-0.066774,-0.097931,-0.147779,-0.579291,-0.833302
-0.007659,-0.065488,-0.502469,-0.099730,-1.343566,3.902798,6.163952,14.929717,29.533899,14.543350
0.004941,-0.454634,0.523618,-1.003815,0.987919,-3.170937,-7.806209,12.924605,-4.722986,-31.033676
0.000138,-0.032112,0.035810,0.000182,0.053508,-0.074160,-0.110147,-0.145370,-0.583418,-0.883523
-0.007950,-0.335295,-0.540380,0.736033,-1.628927,4.144674,6.383891,14.786199,29.559376,14.703589
0.004537,0.153730,-0.483208,-0.681018,0.358340,-2.819388,-7.613746,13.076706,-4.552073,-30.996927
0.000149,0.042367,0.024179,0.000162,0.047326,-0.081030,-0.122262,-0.142945,-0.587526,-0.933725
-0.008212,0.331381,0.455098,0.974315,-1.602766,4.357434,6.598039,14.640968,29.583874,14.863509
0.004108,-0.165761,-0.556292,0.188764,-0.338648,-2.448051,-7.414371,13.227294,-4.381009,-30.959497
0.000158,-0.044873,-0.034268,0.000130,0.032089,-0.087330,-0.134268,-0.140503,-0.591615,-0.983906
-0.008439,-0.297543,0.571496,0.402161,-1.254698,4.539319,6.806189,14.494044,29.607386,15.023099
0.003659,-0.352632,0.435668,0.900840,-0.964579,-2.059381,-7.208250,13.376350,-4.209798,-30.921389
0.000167,-0.002429,-0.027369,0.000120,0.010446,-0.093012,-0.146151,-0.138044,-0.595684,-1.034065
-0.008629,-0.025104,-0.421265,-0.517453,-0.631177,4.688783,7.008127,14.345439,29.629913,15.182362
0.003197,0.313039,0.589719,0.844912,-1.372470,-1.656014,-6.995539,13.523855,-4.038447,-30.882605
0.000175,0.027006,0.032036,0.000150,-0.013384,-0.098029,-0.157900,-0.135570,-0.599733,-1.084202
-0.008788,0.157138,-0.606188,-1.000055,0.145737,4.804520,7.203651,14.195168,29.651455,15.341293
0.002728,-0.400168,-0.401278,0.063269,-1.430622,-1.240743,-6.776417,13.669788,-3.866962,-30.843142
0.000183,-0.047961,0.029108,0.000203,-0.033647,-0.102342,-0.169505,-0.133080,-0.603762,-1.134315
-0.008918,-0.411777,0.368654,-0.650126,0.873374,4.885481,7.392556,14.043247,29.672010,15.499889
0.002246,-0.110811,-0.619206,-0.774350,-1.075851,-0.816497,-6.551063,13.814135,-3.695349,-30.803011
0.000190,0.027904,-0.030128,0.000239,-0.044047,-0.105913,-0.180955,-0.130574,-0.607771,-1.184404
-0.009011,0.290405,0.628127,0.222669,1.318743,4.930889,7.574648,13.889691,29.691580,15.658152
0.001753,0.129566,0.344876,-0.985420,-0.380664,-0.386311,-6.319663,13.956872,-3.523613,-30.762217
0.000196,-0.016824,-0.031858,0.000234,-0.040388,-0.108714,-0.192237,-0.128053,-0.611760,-1.234467
-0.009064,-0.098624,-0.330459,0.911337,1.333086,4.940259,7.749731,13.734520,29.710161,15.816076
0.001254,-0.454327,0.642754,-0.410663,0.439641,0.046698,-6.082409,14.097982,-3.351760,-30.720751
0.000201,-0.028814,0.027553,0.000198,-0.023534,-0.110721,-0.203342,-0.125517,-0.615729,-1.284503
-0.009079,-0.315312,-0.658484,0.855130,0.935496,4.913397,7.917616,13.577744,29.727753,15.973659
0.000756,0.179106,-0.310835,0.493196,1.129647,0.479368,-5.839501,14.237447,-3.179795,-30.678629
0.000205,0.042870,0.033399,0.000163,0.000694,-0.111915,-0.214257,-0.122967,-0.619677,-1.334512
-0.009059,0.318193,0.274936,0.078409,0.277229,4.850422,8.078116,13.419382,29.744354,16.130898
0.000260,-0.202190,-0.669097,0.980442,1.515580,0.908521,-5.591138,14.375248,-3.007724,-30.635849
0.000209,-0.046353,-0.025368,0.000162,0.024945,-0.112287,-0.224973,-0.120402,-0.623604,-1.384492
-0.009000,-0.320953,0.671761,-0.771484,-0.452994,4.751748,8.231052,13.259450,29.759966,16.287798
-0.000232,-0.333979,0.246717,0.624463,1.541691,1.330997,-5.337539,14.511368,-2.835553,-30.592411
0.000211,0.001552,-0.035679,0.000200,0.043418,-0.111832,-0.235478,-0.117823,-0.627511,-1.434442
-0.008905,0.013083,-0.231987,-0.970322,-1.091581,4.618095,8.376248,13.097963,29.774588,16.444342
-0.000713,0.307340,0.681729,-0.268972,1.240390,1.743687,-5.078918,14.645788,-2.663288,-30.548325
0.000213,0.023370,0.022455,0.000248,0.052782,-0.110554,-0.245762,-0.115231,-0.631397,-1.484362
-0.008778,0.127772,-0.696128,-0.370424,-1.518626,4.450477,8.513536,12.934939,29.788218,16.600542
-0.001180,-0.418747,-0.213606,-0.945060,0.694734,2.143569,-4.815498,14.778490,-2.490934,-30.503582
0.000214,-0.046435,0.036959,0.000266,0.051835,-0.108464,-0.255814,-0.112625,-0.635261,-1.534250
-0.008622,-0.414586,0.175848,0.522607,-1.657416,4.250189,8.642745,12.770397,29.800854,16.756388
-0.001637,-0.081350,-0.704774,-0.864684,0.016197,2.527735,-4.547510,14.909456,-2.318498,-30.458200
0.000214,0.030937,-0.020084,0.000243,0.041032,-0.105577,-0.265622,-0.110005,-0.639105,-1.584105
-0.008432,0.307264,0.701481,0.991053,-1.473545,4.018796,8.763719,12.604353,29.812498,16.911882
-0.002083,0.092056,0.143474,-0.097027,-0.664650,2.893425,-4.275186,15.038669,-2.145984,-30.412169
0.000214,-0.021050,-0.038749,0.000194,0.022266,-0.101917,-0.275178,-0.107373,-0.642927,-1.633928
-0.008205,-0.129059,-0.128031,0.642654,-0.981929,3.758106,8.876301,12.436824,29.823153,17.067019
-0.002509,-0.451692,0.705982,0.743389,-1.203592,3.238050,-3.998767,15.166103,-1.973398,-30.365503
0.000212,-0.025410,0.016856,0.000159,-0.001075,-0.097514,-0.284471,-0.104728,-0.646728,-1.683715
-0.007949,-0.290189,-0.718332,-0.253572,-0.263299,3.470155,8.980349,12.267829,29.832811,17.221798
-0.002908,0.202620,-0.111470,0.948963,-1.456379,3.559219,-3.718503,15.291750,-1.800747,-30.318193
0.000210,0.042894,0.039708,0.000168,-0.023987,-0.092404,-0.293489,-0.102071,-0.650508,-1.733468
-0.007671,0.304470,0.073369,-0.937804,0.519547,3.157181,9.075717,12.097384,29.841476,17.376217
-0.003282,-0.236903,-0.725352,0.333717,-1.315880,3.854759,-3.434647,15.415595,-1.628036,-30.270256
0.000207,-0.047515,-0.014386,0.000212,-0.040233,-0.086628,-0.302225,-0.099402,-0.654265,-1.783184
-0.007370,-0.340373,0.716604,-0.834306,1.138144,2.821587,9.162272,11.925509,29.849146,17.530275
-0.003634,-0.313088,0.037479,-0.571645,-0.777588,4.122728,-3.147457,15.537616,-1.455270,-30.221685
0.000203,0.005459,-0.041006,0.000251,-0.044114,-0.080231,-0.310667,-0.096720,-0.658001,-1.832863
-0.007047,0.053024,-0.021107,-0.051194,1.384603,2.465931,9.239888,11.752222,29.855824,17.683966
-0.003959,0.298008,0.715063,-1.016186,0.010787,4.361437,-2.857197,15.657798,-1.282457,-30.172483
0.000199,0.019366,0.010885,0.000251,-0.033627,-0.073264,-0.318805,-0.094028,-0.661715,-1.882504
-0.006703,0.099521,-0.724677,0.768738,1.187788,2.092885,9.308443,11.577540,29.861504,17.837297
-0.004255,-0.434066,-0.006688,-0.653391,0.797193,4.569451,-2.564136,15.776122,-1.109600,-30.122663
